node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type
247,/model/layers.0/self_attn/Shape_2,,Shape,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
248,/model/layers.0/self_attn/Constant_10,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
249,/model/layers.0/self_attn/Gather_2,,Gather,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
250,/model/layers.0/self_attn/Constant_11,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
251,/model/layers.0/self_attn/Div,,Div,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
252,/model/layers.0/self_attn/Cast,,Cast,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
253,/model/layers.0/self_attn/Cast_1,,Cast,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
254,/model/layers.0/self_attn/Constant_12,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
255,/model/layers.0/self_attn/Constant_13,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
256,/model/layers.0/self_attn/Constant_14,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
257,/model/layers.0/self_attn/Unsqueeze_8,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
258,/model/layers.0/self_attn/Constant_15,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
259,/model/layers.0/self_attn/Slice,,Slice,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
260,/model/layers.0/self_attn/Constant_16,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
261,/model/layers.0/self_attn/Constant_17,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
262,/model/layers.0/self_attn/Unsqueeze_9,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
263,/model/layers.0/self_attn/Constant_18,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
264,/model/layers.0/self_attn/Constant_19,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
265,/model/layers.0/self_attn/Slice_1,,Slice,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
266,/model/layers.0/self_attn/Neg,,Neg,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
267,/model/layers.0/self_attn/Concat_3,,Concat,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
268,/model/layers.0/self_attn/Mul_1,,Mul,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
